--- Episode Start: 120 steps ---
Step 065 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 066 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 067 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 068 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 069 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 070 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 071 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 072 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 073 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 074 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 075 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 076 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 077 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 078 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 079 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 080 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 081 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 082 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 083 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 084 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 085 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 086 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 087 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 088 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 089 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 090 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 091 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 092 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 093 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 094 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 095 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 096 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 097 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 098 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 099 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 100 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 101 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 102 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 103 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 104 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 105 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 106 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 107 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 108 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
Step 109 | Proposals: [AgentC:admission] | Referee: AgentC:admission | Rewards: [AgentA:+1.0, AgentB:+1.0, AgentC:+6.0]
