--- Episode Start: 120 steps ---
Step 036 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 037 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 038 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 039 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 040 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 041 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 042 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 043 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 044 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 045 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 046 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 047 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 048 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 049 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 050 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 051 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
